nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe
John Vogelbaum,Homelander,The Boys (TV Series 2019),https://www.superherodb.com/homelander/10-21498/,55,45,35,30,45,35,1,1++,"['Durability', 'Energy Beams', 'Enhanced Hearing', 'Enhanced Sight', 'Enhanced Taste', 'Enhanced Touch', 'Flight', 'Heat Generation', 'Insanity', 'Intimidation', 'Reflexes', 'Social Influencing', 'Sonic Scream', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Vision - Heat', 'Vision - X-Ray', 'Accelerated Healing', 'Agility', 'Berserk Mode', 'Bloodlust', 'Bullet Time', 'Danger Sense', 'Dexterity', 'Endurance', 'Enhanced Memory', 'Enhanced Smell', 'Extrasensory Perception', 'Fire Resistance', 'Heat Resistance', 'Indomitable Will', 'Invulnerability', 'Jump', 'Levitation', 'Longevity', 'Master Martial Artist', 'Master Tactician', 'Regeneration', 'Supernatural Condition', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Light Control', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'The Seven', 'The Seven', 'Homelander', 'Blue Ranked Warriors', 'Death Battle Combatants', 'Roleplaying Collection', 'BlotskyA', 'JaviChat', 'yes', 'Hesperus', 'Denisegc091477gmailcom', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'All Users']",Homelander
Hugh Campbell Jr.,Hughie Campbell (V24),The Boys (TV Series 2019),https://www.superherodb.com/hughie-campbell-v24/10-49720/,65,13,8,15,40,20,1,,"['Stamina', 'Teleportation', 'Accelerated Healing', 'Agility', 'Dexterity', 'Endurance', 'Longevity', 'Reflexes', 'Regeneration', 'Toxin and Disease Resistance', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'JaviChat', 'BlotskyA', 'yes', 'Hesperus', 'Denisegc091477gmailcom', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'All Users']",Hughie Campbell (V24)
,Lamplighter,The Boys (TV Series 2019),https://www.superherodb.com/lamplighter/10-21713/,55,13,11,15,35,35,1,1+,"['Durability', 'Fire Control', 'Fire Resistance', 'Heat Generation', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Energy Resistance', 'Heat Resistance', 'Toxin and Disease Resistance', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'The Seven', 'Lamplighter', 'JaviChat', 'BlotskyA', 'AmalgamComics00', 'yes', 'Hesperus', 'Denisegc091477gmailcom', 'MoNsTeR', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Lamplighter
Emma Meyer,Little Cricket,The Boys (TV Series 2019),https://www.superherodb.com/little-cricket/10-61070/,60,1,1,6,12,1,0,,"['Size Changing', 'The Boys 2019 - The Boys (TV Series 2019)', 'Hesperus', 'MoNsTeR', 'JaviChat', 'AmalgamComics00', 'BlotskyA', 'yes', 'Denisegc091477gmailcom', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Little Cricket
,Marie Moreau,The Boys (TV Series 2019),https://www.superherodb.com/marie-moreau/10-61071/,55,5,8,25,50,35,1,1+,"['Blood Manipulation', 'Accelerated Healing', 'Toxin and Disease Control', 'Weapon Creation', 'Body Inflation', 'Element Control', 'Explosion Manipulation', 'Natural Weapons', 'Vision - X-Ray', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'JaviChat', 'Hesperus', 'MoNsTeR', 'AmalgamComics00', 'BlotskyA', 'yes', 'Denisegc091477gmailcom', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Marie Moreau
,Mesmer,The Boys (TV Series 2019),https://www.superherodb.com/mesmer/10-51399/,50,1,1,7,25,5,0,0,"['Enhanced Touch', 'Longevity', 'Telepathy', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'MoNsTeR', 'BlotskyA', 'yes', 'Denisegc091477gmailcom', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Mesmer
,Mother's Milk,The Boys (TV Series 2019),https://www.superherodb.com/mothers-milk/10-21500/,65,6,6,10,10,60,1,0+,"['Intelligence', 'Preparation', 'Stamina', 'Stealth', 'Dexterity', 'Endurance', 'Fearless', 'Intimidation', 'Master Martial Artist', 'Master Survivor', 'Master Tactician', 'Reflexes', 'Weapons Master', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'MoNsTeR', 'BlotskyA', 'yes', 'Denisegc091477gmailcom', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Mother's Milk
,Naqib,The Boys (TV Series 2019),https://www.superherodb.com/naqib/10-58800/,45,10,8,25,35,10,1,,"['Durability', 'Explosion Manipulation', 'Self-Destruction', 'Self-Sustenance', 'Fire Resistance', 'Longevity', 'Fire Control', 'Illumination', 'Light Control', 'The Boys 2019 - The Boys (TV Series 2019)', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'MoNsTeR', 'BlotskyA', 'yes', 'Denisegc091477gmailcom', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Naqib
Margaret Shaw,Queen Maeve,The Boys (TV Series 2019),https://www.superherodb.com/queen-maeve/10-21501/,60,25,20,25,50,75,1,1+,"['Agility', 'Dexterity', 'Endurance', 'Heat Resistance', 'Reflexes', 'Stamina', 'Toxin and Disease Resistance', 'Acid Resistants', 'Acrobatics', 'Cold Resistance', 'Energy Resistance', 'Fire Resistance', 'Jump', 'Longevity', 'Master Martial Artist', 'Master Tactician', 'Swordsmanship', 'Weapons Master', 'Electricity Resistance', 'Invulnerability', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'The Seven', 'The Seven', 'MoNsTeR', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'BlotskyA', 'yes', 'Denisegc091477gmailcom', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Queen Maeve
Ryan Butcher,Ryan Butcher,The Boys (TV Series 2019),https://www.superherodb.com/ryan-butcher/10-42326/,50,25,30,15,60,7,1,,"['Durability', 'Heat Generation', 'Heat Resistance', 'Stamina', 'Super Speed', 'Super Strength', 'Vision - Heat', 'Vision - X-Ray', 'Accelerated Healing', 'Bloodlust', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Enhanced Hearing', 'Enhanced Sight', 'Fire Resistance', 'Flight', 'Invulnerability', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'MoNsTeR', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'BlotskyA', 'yes', 'Denisegc091477gmailcom', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Ryan Butcher
Sam Riordan,Sam Riordan,The Boys (TV Series 2019),https://www.superherodb.com/sam-riordan/10-61843/,40,30,25,25,40,30,1,,"['Accelerated Healing', 'Bloodlust', 'Durability', 'Endurance', 'Enhanced Condition', 'Enhanced Hearing', 'Jump', 'Shockwaves Generation', 'Stamina', 'Super Speed', 'Super Strength', 'Agility', 'Berserk Mode', 'Insanity', 'Longevity', 'Self-Sustenance', 'Dexterity', 'Intimidation', 'Invulnerability', 'Pain Suppression', 'Regeneration', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'yes', 'AmalgamComics00', 'MoNsTeR', 'JaviChat', 'Hesperus', 'BlotskyA', 'Denisegc091477gmailcom', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Sam Riordan
,Shockwave,The Boys (TV Series 2019),https://www.superherodb.com/shockwave/10-23860/,55,5,25,12,30,25,1,,"['Stamina', 'Super Speed', 'Accelerated Healing', 'Agility', 'Dexterity', 'Endurance', 'Enhanced Sight', 'Longevity', 'Reflexes', 'Regeneration', 'Shockwaves Generation', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'Shockwave', 'AmalgamComics00', 'yes', 'MoNsTeR', 'JaviChat', 'Hesperus', 'BlotskyA', 'Denisegc091477gmailcom', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Shockwave
,Sister Sage,The Boys (TV Series 2019),https://www.superherodb.com/sister-sage/10-65911/,90,1,6,7,30,10,1,0,"['Durability', 'Enhanced Memory', 'Fearless', 'Information Analysis', 'Intelligence', 'Photographic Deduction', 'Robotic Engineering', 'Social Influencing', 'Accelerated Healing', 'Endurance', 'Immorality', 'Intimidation', 'Insanity', 'Multiple Personalities', 'Amazon', 'The Boys 2019 - The Boys (TV Series 2019)', 'MoNsTeR', 'yes', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'BlotskyA', 'Denisegc091477gmailcom', 'TheOld', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Sister Sage
,Soldier Boy,The Boys (TV Series 2019),https://www.superherodb.com/soldier-boy/10-30098/,65,25,19,20,50,85,1,1+,"['Dexterity', 'Endurance', 'Enhanced Sight', 'Marksmanship', 'Master Martial Artist', 'Radiation Control', 'Stamina', 'Accelerated Healing', 'Agility', 'Bloodlust', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Smell', 'Enhanced Taste', 'Explosion Manipulation', 'Heat Resistance', 'Jump', 'Longevity', 'Master Tactician', 'Mind Control Resistance', 'Power Nullifier', 'Radiation Immunity', 'Reflexes', 'Regeneration', 'Shockwaves Generation', 'Social Influencing', 'Toxin and Disease Resistance', 'Weapons Master', 'Aura', 'Energy Resistance', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'Roleplaying Collection', 'Walid27', 'yes', 'MoNsTeR', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'BlotskyA', 'Denisegc091477gmailcom', 'TheOld', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Soldier Boy
,Splinter,The Boys (TV Series 2019),https://www.superherodb.com/splinter/10-66737/,45,5,6,7,30,15,1,0+,"['Duplication', 'Body Puppetry', 'Cloning', 'Enhanced Hearing', 'Enhanced Memory', 'Social Influencing', 'Immortality', 'Amazon', 'The Boys 2019 - The Boys (TV Series 2019)', 'yes', 'MoNsTeR', 'Walid27', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'BlotskyA', 'Denisegc091477gmailcom', 'TheOld', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Splinter
Annie January,Starlight,The Boys (TV Series 2019),https://www.superherodb.com/starlight/10-21503/,60,25,11,15,35,40,1,1+,"['Electricity Absorption', 'Heat Generation', 'Super Strength', 'Accelerated Healing', 'Cold Resistance', 'Energy Blasts', 'Heat Resistance', 'Levitation', 'Light Control', 'Master Martial Artist', 'Regeneration', 'Social Influencing', 'Status Effect Inducement', 'Weapons Master', 'Electricity Resistance', 'Electrokinesis', 'Energy Absorption', 'Energy Manipulation', 'Flight', 'Illumination', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'The Seven', 'The Seven', 'Starlight', 'MoNsTeR', 'Walid27', 'yes', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'BlotskyA', 'Denisegc091477gmailcom', 'TheOld', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Starlight
Klara Risinger,Stormfront,The Boys (TV Series 2019),https://www.superherodb.com/stormfront/10-21504/,60,25,25,20,55,30,1,1+,"['Bloodlust', 'Electrokinesis', 'Plasma Manipulation', 'Social Influencing', 'Stamina', 'Toxin and Disease Resistance', 'Accelerated Healing', 'Acid Resistants', 'Cold Resistance', 'Dexterity', 'Endurance', 'Enhanced Hearing', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Taste', 'Flight', 'Heat Resistance', 'Longevity', 'Reflexes', 'Regeneration', 'Telekinesis', 'Electricity Resistance', 'Energy Resistance', 'Omnilingualism', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'The Seven', 'The Seven', 'yes', 'Denisegc091477gmailcom', 'AmalgamComics00', 'Walid27', 'Tigerking2020', 'MoNsTeR', 'JaviChat', 'Hesperus', 'BlotskyA', 'TheOld', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Stormfront
Kenji Miyashiro,Supe Terrorist,The Boys (TV Series 2019),https://www.superherodb.com/supe-terrorist/10-50164/,55,1,25,13,55,25,1,,"['Durability', 'Super Speed', 'Enhanced Condition', 'Enhanced Touch', 'Telekinesis', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'Tigerking2020', 'Walid27', 'AmalgamComics00', 'yes', 'MoNsTeR', 'Denisegc091477gmailcom', 'JaviChat', 'Hesperus', 'BlotskyA', 'TheOld', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Supe Terrorist
Robert Vernon,Tek Knight,The Boys (TV Series 2019),https://www.superherodb.com/tek-knight/10-65346/,70,15,8,10,25,35,1,1,"['Endurance', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Taste', 'Enhanced Touch', 'Information Analysis', 'Intelligence', 'Photographic Deduction', 'Social Influencing', 'Insanity', 'Power Suit', 'Madness Manipulation', 'Scanning', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'yes', 'MoNsTeR', 'Denisegc091477gmailcom', 'Tigerking2020', 'Walid27', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'BlotskyA', 'TheOld', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Tek Knight
,The Deep,The Boys (TV Series 2019),https://www.superherodb.com/the-deep/10-21506/,55,25,25,15,35,40,1,1,"['Animal Control', 'Stamina', 'Super Speed', 'Super Strength', 'Swimming', 'Telepathy', 'Underwater breathing', 'Acrobatics', 'Agility', 'Cold Resistance', 'Deception', 'Dexterity', 'Endurance', 'Heat Resistance', 'Invulnerability', 'Jump', 'Longevity', 'Reflexes', 'Social Influencing', 'Toxin and Disease Resistance', 'Accelerated Healing', 'Multilingualism', 'Regeneration', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'The Seven', 'The Seven', 'yes', 'Denisegc091477gmailcom', 'MoNsTeR', 'Tigerking2020', 'Walid27', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'BlotskyA', 'TheOld', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",The Deep
Kimiko Miyashiro,The Female,The Boys (TV Series 2019),https://www.superherodb.com/the-female/10-21507/,50,25,17,20,40,40,1,1,"['Accelerated Healing', 'Agility', 'Bloodlust', 'Dexterity', 'Reflexes', 'Stamina', 'Acrobatics', 'Endurance', 'Enhanced Hearing', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Taste', 'Enhanced Touch', 'Heat Resistance', 'Jump', 'Regeneration', 'Toxin and Disease Resistance', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'BlotskyA', 'Denisegc091477gmailcom', 'yes', 'MoNsTeR', 'Tigerking2020', 'Walid27', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'TheOld', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",The Female
,Translucent,The Boys (TV Series 2019),https://www.superherodb.com/translucent/10-21513/,55,8,11,30,30,35,1,,"['Durability', 'Super Strength', 'Endurance', 'Invisibility', 'Longevity', 'Invulnerability', 'Light Control', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'The Seven', 'MoNsTeR', 'BlotskyA', 'Denisegc091477gmailcom', 'yes', 'Tigerking2020', 'Walid27', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'TheOld', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Translucent
,Victoria Neuman,The Boys (TV Series 2019),https://www.superherodb.com/victoria-neuman/10-49730/,70,25,10,25,40,25,1,,"['Acid Resistants', 'Blood Manipulation', 'Intelligence', 'Power Sense', 'Social Influencing', 'Accelerated Healing', 'Fear Inducement', 'Fearless', 'Intimidation', 'Longevity', 'Stealth', 'Toxin and Disease Control', 'Toxin and Disease Resistance', 'Body Inflation', 'Body Puppetry', 'Density Control', 'Explosion Manipulation', 'Natural Weapons', 'Preparation', 'Vision - X-Ray', 'Water Control', 'Weapon Creation', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'Denisegc091477gmailcom', 'MoNsTeR', 'BlotskyA', 'yes', 'Tigerking2020', 'Walid27', 'AmalgamComics00', 'JaviChat', 'Hesperus', 'TheOld', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'All Users']",Victoria Neuman
