nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe
,Cassandra Cain,DC Extended Universe,https://www.superherodb.com/cassandra-cain/10-18637/,45,1,1,1,1,30,0,,"['Enhanced Thievery', 'DC Comics', 'DCEU - DC Extended Universe', 'ForJustice1324', 'lucifermorningstar876', 'Hesperus', 'yes', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Cassandra Cain
Barbara Ann Minerva,Cheetah,DC Extended Universe,https://www.superherodb.com/cheetah/10-20281/,60,50,14,15,30,65,1,,"['Acrobatics', 'Agility', 'Animal Attributes', 'Animal Oriented Powers', 'Durability', 'Intelligence', 'Magic', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Dexterity', 'Endurance', 'Jump', 'Cold Resistance', 'Electricity Resistance', 'DC Comics', 'DCEU - DC Extended Universe', 'Cheetah', 'ForJustice1324', 'lucifermorningstar876', 'Hesperus', 'yes', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Cheetah
Victor Stone,Cyborg,DC Extended Universe,https://www.superherodb.com/cyborg/10-12532/,70,40,30,35,65,50,2,,"['Durability', 'Hacking', 'Intelligence', 'Mechanical Aptitude', 'Reflexes', 'Robotic Engineering', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Technopath/Cyberpath', 'Accelerated Healing', 'Acrobatics', 'Adaptation', 'Agility', 'Biokinesis', 'Changing Armor', 'Cold Resistance', 'Danger Sense', 'Dexterity', 'Electricity Absorption', 'Electricity Resistance', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Energy Resistance', 'Enhanced Memory', 'Enhanced Sight', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Information Analysis', 'Information Manipulation', 'Intuitive aptitude', 'Jump', 'Levitation', 'Marksmanship', 'Nanotechnology', 'Vision - Night', 'Vision - Thermal', 'Weapon Creation', 'Weapon-based Powers', 'Weapons Master', 'Energy Manipulation', 'Illumination', 'Invulnerability', 'Master Martial Artist', 'Master Tactician', 'Shapeshifting', 'Toxin and Disease Resistance', 'Transformation', 'DC Comics', 'DCEU - DC Extended Universe', 'Cyborg', 'Batman V Superman: Dawn Of Justice (2016)', 'Blue Ranked Warriors', 'Movie Heroes', 'Roleplaying Collection', 'Zack Snyder’s Justice League (2021)', 'Hesperus', 'ForJustice1324', 'lucifermorningstar876', 'yes', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Cyborg
Maxine Hunkel,Cyclone,DC Extended Universe,https://www.superherodb.com/cyclone/10-27871/,80,1,25,15,50,40,1,,"['Agility', 'Flight', 'Intuitive aptitude', 'Stamina', 'Wind Control', 'Gadget Usage', 'Reflexes', 'Weather Control', 'DC Comics', 'DCEU - DC Extended Universe', 'Cyclone', 'lucifermorningstar876', 'Hesperus', 'ForJustice1324', 'yes', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Cyclone
Barry Allen,Dark Flash,DC Extended Universe,https://www.superherodb.com/dark-flash/10-58454/,80,25,100,35,85,50,5,,"['Accelerated Healing', 'Afterimage Creation', 'Agility', 'Bullet Time', 'Dimensional Travel', 'Durability Negation', 'Electrokinesis', 'Heat Generation', 'Heat Resistance', 'Intangibility', 'Intelligence', 'Invisibility', 'Longevity', 'Phasing', 'Reflexes', 'Speed Force', 'Time Manipulation', 'Time Travel', 'Vibration Manipulation', 'Acausality', 'Accelerated Development', 'Acrobatics', 'Aura', 'Cold Resistance', 'Electricity Absorption', 'Electricity Resistance', 'Electro-Magnetism Manipulation', 'Energy Manipulation', 'Energy Resistance', 'Explosion Manipulation', 'Illumination', 'Illusion Resistance', 'Interstellar Travel', 'Light Control', 'Regeneration', 'Surface Scaling', 'Time Manipulation Resistance', 'Vortex Creation', 'Weapon-based Powers', 'Weapons Master', 'Wind Control', 'Force Fields', 'Spatial Manipulation', 'DC Comics', 'DCEU - DC Extended Universe', 'lucifermorningstar876', 'Hesperus', 'ForJustice1324', 'yes', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'TheOld', 'All Users']",Dark Flash
Uxas,Darkseid,DC Extended Universe,https://www.superherodb.com/darkseid/10-21002/,95,100,30,55,90,95,4,4,"['Accelerated Healing', 'Cold Resistance', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Beams', 'Energy Resistance', 'Fire Resistance', 'Godly Physiology', 'Heat Generation', 'Heat Resistance', 'Homing Attack', 'Immortality', 'Intelligence', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Omega Effect', 'Omega Sanction', 'Radiation Immunity', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Weapons Master', 'Agility', 'Empathy', 'Energy Blasts', 'Fear Inducement', 'Fear Manipulation', 'Invulnerability', 'Mind Control', 'Power Sense', 'Regeneration', 'Self-Sustenance', 'Underwater breathing', 'Vision - Heat', 'Acrobatics', 'Aura', 'Dexterity', 'Large Size', 'DC Comics', 'DCEU - DC Extended Universe', 'Darkseid', 'Movie Heroes', 'Zack Snyder’s Justice League (2021)', 'lucifermorningstar876', 'Hesperus', 'ForJustice1324', 'yes', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'All Users']",Darkseid
Floyd Lawton,Deadshot,DC Extended Universe,https://www.superherodb.com/deadshot/10-12599/,60,1,6,7,17,45,1,0++,"['Intelligence', 'Marksmanship', 'Peak Human Condition', 'Stamina', 'Weapons Master', 'Agility', 'Dexterity', 'Endurance', 'Reflexes', 'Stealth', 'Weapon-based Powers', 'Master Tactician', 'DC Comics', 'DCEU - DC Extended Universe', 'Suicide Squad', 'Deadshot', 'My Dceu Batman Trilogy', 'Roleplaying Collection', 'White Ranked Warriors', 'lucifermorningstar876', 'Hesperus', 'ForJustice1324', 'yes', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'All Users']",Deadshot
Kent Nelson,Doctor Fate,DC Extended Universe,https://www.superherodb.com/doctor-fate/10-27717/,85,75,60,45,85,70,3,3+,"['Astral Projection', 'Cloth Manipulation', 'Cold Resistance', 'Duplication', 'Durability', 'Energy Constructs', 'Energy Manipulation', 'Extrasensory Perception', 'Flight', 'Force Fields', 'Hypnokinesis', 'Illumination', 'Illusions', 'Intelligence', 'Invisibility', 'Latent Abilities', 'Levitation', 'Longevity', 'Magic', 'Magic Resistance', 'Mind Control', 'Mind Control Resistance', 'Postcognition', 'Precognition', 'Projection', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Agility', 'Banish', 'Clairvoyance', 'Creation', 'Danger Sense', 'Dexterity', 'Electricity Resistance', 'Electrokinesis', 'Endurance', 'Energy Absorption', 'Energy Blasts', 'Energy Resistance', 'Enhanced Sight', 'Fate Resistance', 'Fire Resistance', 'Heat Generation', 'Heat Resistance', 'Illusion Resistance', 'Indomitable Will', 'Information Analysis', 'Marksmanship', 'Memory Manipulation', 'Psionic Powers', 'Psychometry', 'Radiation Immunity', 'Reflexes', 'Regeneration', 'Resurrection', 'Sealing', 'Sense Manipulation', 'Sleep Manipulation', 'Stamina', 'Stealth', 'Telekinesis', 'Telepathy', 'Telepathy Resistance', 'Teleportation', 'Toxin and Disease Resistance', 'Fate Manipulation', 'Master Tactician', 'Transformation', 'Wishing', 'DC Comics', 'DCEU - DC Extended Universe', 'Doctor Fate', 'lucifermorningstar876', 'Hesperus', 'ForJustice1324', 'yes', 'Walid27', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'All Users']",Doctor Fate
Thaddeus Sivana,Doctor Sivana,DC Extended Universe,https://www.superherodb.com/doctor-sivana/10-17484/,70,95,60,40,70,55,3,,"['Accelerated Healing', 'Agility', 'Cold Resistance', 'Durability', 'Endurance', 'Energy Resistance', 'Fire Resistance', 'Flight', 'Heat Resistance', 'Intelligence', 'Jump', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Bullet Time', 'Dexterity', 'Electrical Transport', 'Electricity Absorption', 'Electricity Resistance', 'Electrokinesis', 'Energy Blasts', 'Energy Manipulation', 'Heat Generation', 'Illumination', 'Indomitable Will', 'Invulnerability', 'Magic', 'Marksmanship', 'Master Tactician', 'Mind Control Resistance', 'Non-Physical Interaction', 'Radiation Immunity', 'Regeneration', 'Self-Destruction', 'Summoning', 'Telepathy Resistance', 'Self-Sustenance', 'DC Comics', 'DCEU - DC Extended Universe', 'Doctor Sivana', 'Tigerking2020', 'Hesperus', 'lucifermorningstar876', 'ForJustice1324', 'yes', 'Walid27', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'All Users']",Doctor Sivana
,Doomsday,DC Extended Universe,https://www.superherodb.com/doomsday/10-12587/,35,100,45,45,75,25,3,,"['Accelerated Healing', 'Adaptation', 'Agility', 'Bloodlust', 'Cold Resistance', 'Durability', 'Electricity Resistance', 'Electrokinesis', 'Energy Absorption', 'Energy Beams', 'Energy Resistance', 'Explosion Manipulation', 'Fire Resistance', 'Heat Resistance', 'Jump', 'Longevity', 'Radiation Absorption', 'Radiation Immunity', 'Reactive Evolution', 'Reactive Power Level', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Vision - Heat', 'Berserk Mode', 'Bone Manipulation', 'Dexterity', 'Electricity Absorption', 'Endurance', 'Enhanced Hearing', 'Enhanced Sight', 'Flight', 'Heat Generation', 'Illumination', 'Immortality', 'Invulnerability', 'Large Size', 'Rage Power', 'Regeneration', 'Seismic Power', 'Self-Sustenance', 'Super Breath', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Accelerated Development', 'Energy Manipulation', 'DC Comics', 'DCEU - DC Extended Universe', 'Doomsday', 'Batman V Superman: Dawn Of Justice (2016)', 'Movie Heroes', 'Red Ranked Warriors', 'Hesperus', 'Tigerking2020', 'lucifermorningstar876', 'ForJustice1324', 'yes', 'Walid27', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'All Users']",Doomsday
Chato Santana,El Diablo,DC Extended Universe,https://www.superherodb.com/el-diablo/10-13967/,55,25,6,10,35,45,1,,"['Berserk Mode', 'Fire Control', 'Heat Generation', 'Agility', 'Endurance', 'Fire Resistance', 'Heat Resistance', 'Reflexes', 'DC Comics', 'DCEU - DC Extended Universe', 'Suicide Squad', 'El Diablo', 'Roleplaying Collection', 'Hesperus', 'Tigerking2020', 'lucifermorningstar876', 'ForJustice1324', 'yes', 'Walid27', 'RatnikNaSjeveru2005', 'Delinquent', 'JaviChat', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'All Users']",El Diablo
June Moone,Enchantress,DC Extended Universe,https://www.superherodb.com/enchantress/10-13885/,80,70,20,18,70,70,3,,"['Intelligence', 'Longevity', 'Mind Control', 'Super Speed', 'Super Strength', 'Telepathy', 'Teleportation', 'Accelerated Healing', 'Element Control', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Hypnokinesis', 'Illusions', 'Magic', 'Possession', 'Reflexes', 'Regeneration', 'Stealth', 'Telekinesis', 'Wallcrawling', 'Weapon Creation', 'Weather Control', 'Invulnerability', 'Mind Control Resistance', 'DC Comics', 'DCEU - DC Extended Universe', 'Enchantress', 'Red Ranked Warriors', 'Tigerking2020', 'JaviChat', 'Hesperus', 'lucifermorningstar876', 'ForJustice1324', 'yes', 'Walid27', 'RatnikNaSjeveru2005', 'Delinquent', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'All Users']",Enchantress
Envy,Envy,DC Extended Universe,https://www.superherodb.com/envy/10-27552/,65,65,65,40,60,65,3,,"['Accelerated Healing', 'Cold Resistance', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Fire Resistance', 'Heat Resistance', 'Intelligence', 'Invulnerability', 'Radiation Immunity', 'Reflexes', 'Regeneration', 'Self-Sustenance', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Agility', 'Dexterity', 'Flight', 'Immortality', 'Jump', 'Stealth', 'DC Comics', 'DCEU - DC Extended Universe', 'Envy', 'JaviChat', 'Tigerking2020', 'Hesperus', 'lucifermorningstar876', 'ForJustice1324', 'yes', 'Walid27', 'RatnikNaSjeveru2005', 'Delinquent', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'All Users']",Envy
Faora-Ul,Faora,DC Extended Universe,https://www.superherodb.com/faora/10-15086/,70,95,60,45,70,85,3,,"['Agility', 'Cold Resistance', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Absorption', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Sight', 'Fire Resistance', 'Heat Resistance', 'Intelligence', 'Invulnerability', 'Jump', 'Longevity', 'Reflexes', 'Stamina', 'Stealth', 'Super Breath', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Vision - Heat', 'Vision - Infrared', 'Vision - Microscopic', 'Vision - Telescopic', 'Vision - X-Ray', 'Accelerated Healing', 'Acrobatics', 'Dexterity', 'Energy Beams', 'Energy Blasts', 'Enhanced Smell', 'Flight', 'Heat Generation', 'Marksmanship', 'Master Martial Artist', 'Radiation Immunity', 'Self-Sustenance', 'Supernatural Condition', 'Vision - Night', 'Weapons Master', 'Master Tactician', 'Regeneration', 'DC Comics', 'DCEU - DC Extended Universe', 'Faora', 'JaviChat', 'Tigerking2020', 'Hesperus', 'lucifermorningstar876', 'ForJustice1324', 'yes', 'Walid27', 'RatnikNaSjeveru2005', 'Delinquent', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'All Users']",Faora
Frederick Christopher Freeman,Freddy Freeman,DC Extended Universe,https://www.superherodb.com/freddy-freeman/10-16682/#user,0,0,0,0,0,0,0,,"['DC Comics', 'DCEU - DC Extended Universe', 'Tigerking2020', 'JaviChat', 'Hesperus', 'lucifermorningstar876', 'ForJustice1324', 'yes', 'Walid27', 'RatnikNaSjeveru2005', 'Delinquent', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'All Users']",Freddy Freeman
Dru-Zod,General Zod,DC Extended Universe,https://www.superherodb.com/general-zod/10-12609/,70,100,50,40,75,85,3,,"['Agility', 'Cold Resistance', 'Energy Beams', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Flight', 'Heat Generation', 'Heat Resistance', 'Intelligence', 'Levitation', 'Longevity', 'Master Martial Artist', 'Master Tactician', 'Radiation Immunity', 'Spaceflight', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Vehicular Mastery', 'Vision - Heat', 'Weapons Master', 'Accelerated Healing', 'Acid Resistants', 'Berserk Mode', 'Dexterity', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Explosion Manipulation', 'Fire Resistance', 'Insanity', 'Invulnerability', 'Jump', 'Marksmanship', 'Reflexes', 'Regeneration', 'Shockwaves Generation', 'Space Survivability', 'Super Breath', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Adaptation', 'Energy Absorption', 'Ice Manipulation', 'Immortality', 'DC Comics', 'DCEU - DC Extended Universe', 'General Zod', 'Enderman Endy Villain That Make Endy Fight The True Villain', 'Man Of Steel (2013)', 'Movie Heroes', 'Red Ranked Warriors', 'Hesperus', 'JaviChat', 'Tigerking2020', 'lucifermorningstar876', 'ForJustice1324', 'yes', 'Walid27', 'RatnikNaSjeveru2005', 'Delinquent', 'Bananatooshholeyyyyyy', 'Rotemeg', 'Ezio', 'Xml', 'Jki546', 'Ahasan', 'All Users']",General Zod
